"AddressFamily","ifIndex","InterfaceAlias","DestinationPrefix","NextHop","RouteMetric","InterfaceMetric","Protocol","Publish","Store"
"IPv6","7","Ethernet","::/0","fe80::1a60:41ff:fe3b:cfd9","256","25","NetMgmt","No","ActiveStore"
"IPv6","1","Loopback Pseudo-Interface 1","::1/128","::","256","75","Local","No","ActiveStore"
"IPv6","7","Ethernet","2607:fb91:4185:ac41::/64","::","256","25","NetMgmt","No","ActiveStore"
"IPv6","7","Ethernet","2607:fb91:4185:ac41:9843:82bd:c5fa:fd53/128","::","256","25","Local","No","ActiveStore"
"IPv6","7","Ethernet","2607:fb91:4185:ac41:cc0:4b6f:1e7d:1db1/128","::","256","25","Local","No","ActiveStore"
"IPv6","7","Ethernet","fddd:3203:68f8:1::/64","fe80::340f:d0ff:fedb:6fbe","256","25","NetMgmt","No","ActiveStore"
"IPv6","7","Ethernet","fdfe:5e6c:2e69:98de::/64","::","256","25","NetMgmt","No","ActiveStore"
"IPv6","7","Ethernet","fdfe:5e6c:2e69:98de:71b0:b49d:e233:846a/128","::","256","25","Local","No","ActiveStore"
"IPv6","7","Ethernet","fdfe:5e6c:2e69:98de:9843:82bd:c5fa:fd53/128","::","256","25","Local","No","ActiveStore"
"IPv6","7","Ethernet","fdfe:5e6c:2e69:98de:9f6d:7c51:b7f8:a9ea/128","::","256","25","Local","No","ActiveStore"
"IPv6","7","Ethernet","fe80::/64","::","256","25","Local","No","ActiveStore"
"IPv6","19","VMware Network Adapter VMnet1","fe80::/64","::","256","35","Local","No","ActiveStore"
"IPv6","21","VMware Network Adapter VMnet8","fe80::/64","::","256","35","Local","No","ActiveStore"
"IPv6","19","VMware Network Adapter VMnet1","fe80::4ff9:fa91:2a4c:d682/128","::","256","35","Local","No","ActiveStore"
"IPv6","21","VMware Network Adapter VMnet8","fe80::c475:6718:2815:57f8/128","::","256","35","Local","No","ActiveStore"
"IPv6","7","Ethernet","fe80::f96d:7823:809d:c505/128","::","256","25","Local","No","ActiveStore"
"IPv6","1","Loopback Pseudo-Interface 1","ff00::/8","::","256","75","Local","No","ActiveStore"
"IPv6","7","Ethernet","ff00::/8","::","256","25","Local","No","ActiveStore"
"IPv6","19","VMware Network Adapter VMnet1","ff00::/8","::","256","35","Local","No","ActiveStore"
"IPv6","21","VMware Network Adapter VMnet8","ff00::/8","::","256","35","Local","No","ActiveStore"
