"ifIndex","Name","InterfaceDescription","Status","MacAddress","LinkSpeed","MtuSize","Virtual","Hidden"
"2","Local Area Connection* 4","WAN Miniport (IKEv2)","Disconnected","","0 bps","1480","True","True"
"3","Local Area Connection* 8","WAN Miniport (IP)","Up","","0 bps","1500","True","True"
"4","6to4 Adapter","","Not Present","","0 bps","0","True","True"
"5","Local Area Connection* 10","WAN Miniport (Network Monitor)","Up","","0 bps","1500","True","True"
"6","Wi-Fi","Intel(R) Wi-Fi 6E AX211 160MHz","Disconnected","D0-57-7E-D0-72-08","0 bps","1500","False","False"
"7","Ethernet","Realtek PCIe GbE Family Controller","Up","34-5A-60-90-DD-72","1 Gbps","1500","False","False"
"8","Microsoft IP-HTTPS Platform Interface","","Not Present","","0 bps","0","True","True"
"10","Local Area Connection* 3","WAN Miniport (SSTP)","Disconnected","","0 bps","4091","True","True"
"11","Local Area Connection* 9","WAN Miniport (IPv6)","Up","","0 bps","1500","True","True"
"12","Local Area Connection* 1","Microsoft Wi-Fi Direct Virtual Adapter","Disconnected","D0-57-7E-D0-72-09","0 bps","1500","True","True"
"13","Ethernet (Kernel Debugger)","Microsoft Kernel Debug Network Adapter","Not Present","","0 bps","0","True","True"
"14","Teredo Tunneling Pseudo-Interface","","Not Present","","0 bps","0","True","True"
"15","Local Area Connection* 7","WAN Miniport (PPPOE)","Disconnected","","0 bps","1494","True","True"
"16","Local Area Connection* 6","WAN Miniport (PPTP)","Disconnected","","0 bps","1464","True","True"
"17","Local Area Connection* 2","Microsoft Wi-Fi Direct Virtual Adapter #2","Disconnected","D2-57-7E-D0-72-08","0 bps","1500","True","True"
"18","Local Area Connection* 5","WAN Miniport (L2TP)","Disconnected","","0 bps","1460","True","True"
"19","VMware Network Adapter VMnet1","VMware Virtual Ethernet Adapter for VMnet1","Up","00-50-56-C0-00-01","100 Mbps","1500","True","False"
"20","Bluetooth Network Connection","Bluetooth Device (Personal Area Network)","Disconnected","D0-57-7E-D0-72-0C","3 Mbps","1500","True","False"
"21","VMware Network Adapter VMnet8","VMware Virtual Ethernet Adapter for VMnet8","Up","00-50-56-C0-00-08","100 Mbps","1500","True","False"
