"AddressFamily","ifIndex","InterfaceAlias","IPAddress","PrefixLength","PrefixOrigin","SuffixOrigin","Type","Store"
"IPv4","1","Loopback Pseudo-Interface 1","127.0.0.1","8","WellKnown","WellKnown","Unicast","ActiveStore"
"IPv4","6","Wi-Fi","169.254.0.58","16","WellKnown","Link","Unicast","ActiveStore"
"IPv4","7","Ethernet","192.168.12.124","24","Dhcp","Dhcp","Unicast","ActiveStore"
"IPv4","12","Local Area Connection* 1","169.254.159.160","16","WellKnown","Link","Unicast","ActiveStore"
"IPv4","17","Local Area Connection* 2","169.254.129.245","16","WellKnown","Link","Unicast","ActiveStore"
"IPv4","19","VMware Network Adapter VMnet1","192.168.81.1","24","Dhcp","Dhcp","Unicast","ActiveStore"
"IPv4","20","Bluetooth Network Connection","169.254.174.248","16","WellKnown","Link","Unicast","ActiveStore"
"IPv4","21","VMware Network Adapter VMnet8","192.168.15.1","24","Dhcp","Dhcp","Unicast","ActiveStore"
"IPv6","1","Loopback Pseudo-Interface 1","::1","128","WellKnown","WellKnown","Unicast","ActiveStore"
"IPv6","7","Ethernet","2607:fb91:4185:ac41:9843:82bd:c5fa:fd53","128","RouterAdvertisement","Random","Unicast","ActiveStore"
"IPv6","7","Ethernet","2607:fb91:4185:ac41:cc0:4b6f:1e7d:1db1","64","RouterAdvertisement","Link","Unicast","ActiveStore"
"IPv6","7","Ethernet","fdfe:5e6c:2e69:98de:71b0:b49d:e233:846a","64","RouterAdvertisement","Link","Unicast","ActiveStore"
"IPv6","7","Ethernet","fdfe:5e6c:2e69:98de:9843:82bd:c5fa:fd53","128","RouterAdvertisement","Random","Unicast","ActiveStore"
"IPv6","7","Ethernet","fdfe:5e6c:2e69:98de:9f6d:7c51:b7f8:a9ea","128","Dhcp","Dhcp","Unicast","ActiveStore"
"IPv6","7","Ethernet","fe80::f96d:7823:809d:c505%7","64","WellKnown","Link","Unicast","ActiveStore"
"IPv6","19","VMware Network Adapter VMnet1","fe80::4ff9:fa91:2a4c:d682%19","64","WellKnown","Link","Unicast","ActiveStore"
"IPv6","21","VMware Network Adapter VMnet8","fe80::c475:6718:2815:57f8%21","64","WellKnown","Link","Unicast","ActiveStore"
