"InterfaceIndex","InterfaceAlias","AddressFamily","ServerAddresses"
"1","Loopback Pseudo-Interface 1","2",""
"1","Loopback Pseudo-Interface 1","23","fec0:0:0:ffff::1;fec0:0:0:ffff::2;fec0:0:0:ffff::3"
"6","Wi-Fi","2","192.168.10.1"
"6","Wi-Fi","23",""
"7","Ethernet","2","192.168.12.1"
"7","Ethernet","23","fe80::1a60:41ff:fe3b:cfd9;fe80::1a60:41ff:fe3b:cfd9"
"12","Local Area Connection* 1","2",""
"12","Local Area Connection* 1","23",""
"17","Local Area Connection* 2","2",""
"17","Local Area Connection* 2","23",""
"19","VMware Network Adapter VMnet1","2",""
"19","VMware Network Adapter VMnet1","23","fec0:0:0:ffff::1;fec0:0:0:ffff::2;fec0:0:0:ffff::3"
"20","Bluetooth Network Connection","2",""
"20","Bluetooth Network Connection","23",""
"21","VMware Network Adapter VMnet8","2",""
"21","VMware Network Adapter VMnet8","23","fec0:0:0:ffff::1;fec0:0:0:ffff::2;fec0:0:0:ffff::3"
