"AddressFamily","ifIndex","InterfaceAlias","DestinationPrefix","NextHop","RouteMetric","InterfaceMetric","Protocol","Publish","Store"
"IPv4","7","Ethernet","0.0.0.0/0","192.168.12.1","0","25","NetMgmt","No","ActiveStore"
"IPv4","1","Loopback Pseudo-Interface 1","127.0.0.0/8","0.0.0.0","256","75","Local","No","ActiveStore"
"IPv4","1","Loopback Pseudo-Interface 1","127.0.0.1/32","0.0.0.0","256","75","Local","No","ActiveStore"
"IPv4","1","Loopback Pseudo-Interface 1","127.255.255.255/32","0.0.0.0","256","75","Local","No","ActiveStore"
"IPv4","7","Ethernet","192.168.12.0/24","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","7","Ethernet","192.168.12.124/32","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","7","Ethernet","192.168.12.255/32","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","21","VMware Network Adapter VMnet8","192.168.15.0/24","0.0.0.0","256","35","Local","No","ActiveStore"
"IPv4","21","VMware Network Adapter VMnet8","192.168.15.1/32","0.0.0.0","256","35","Local","No","ActiveStore"
"IPv4","21","VMware Network Adapter VMnet8","192.168.15.255/32","0.0.0.0","256","35","Local","No","ActiveStore"
"IPv4","19","VMware Network Adapter VMnet1","192.168.81.0/24","0.0.0.0","256","35","Local","No","ActiveStore"
"IPv4","19","VMware Network Adapter VMnet1","192.168.81.1/32","0.0.0.0","256","35","Local","No","ActiveStore"
"IPv4","19","VMware Network Adapter VMnet1","192.168.81.255/32","0.0.0.0","256","35","Local","No","ActiveStore"
"IPv4","1","Loopback Pseudo-Interface 1","224.0.0.0/4","0.0.0.0","256","75","Local","No","ActiveStore"
"IPv4","6","Wi-Fi","224.0.0.0/4","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","7","Ethernet","224.0.0.0/4","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","12","Local Area Connection* 1","224.0.0.0/4","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","17","Local Area Connection* 2","224.0.0.0/4","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","19","VMware Network Adapter VMnet1","224.0.0.0/4","0.0.0.0","256","35","Local","No","ActiveStore"
"IPv4","20","Bluetooth Network Connection","224.0.0.0/4","0.0.0.0","256","65","Local","No","ActiveStore"
"IPv4","21","VMware Network Adapter VMnet8","224.0.0.0/4","0.0.0.0","256","35","Local","No","ActiveStore"
"IPv4","1","Loopback Pseudo-Interface 1","255.255.255.255/32","0.0.0.0","256","75","Local","No","ActiveStore"
"IPv4","6","Wi-Fi","255.255.255.255/32","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","7","Ethernet","255.255.255.255/32","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","12","Local Area Connection* 1","255.255.255.255/32","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","17","Local Area Connection* 2","255.255.255.255/32","0.0.0.0","256","25","Local","No","ActiveStore"
"IPv4","19","VMware Network Adapter VMnet1","255.255.255.255/32","0.0.0.0","256","35","Local","No","ActiveStore"
"IPv4","20","Bluetooth Network Connection","255.255.255.255/32","0.0.0.0","256","65","Local","No","ActiveStore"
"IPv4","21","VMware Network Adapter VMnet8","255.255.255.255/32","0.0.0.0","256","35","Local","No","ActiveStore"
