"AddressFamily","ifIndex","InterfaceAlias","NlMtu","InterfaceMetric","AutomaticMetric","Forwarding","Dhcp","ConnectionState","Store"
"IPv4","1","Loopback Pseudo-Interface 1","4294967295","75","Enabled","Disabled","Disabled","Connected","ActiveStore"
"IPv4","6","Wi-Fi","1500","25","Enabled","Disabled","Enabled","Disconnected","ActiveStore"
"IPv4","7","Ethernet","1500","25","Enabled","Disabled","Enabled","Connected","ActiveStore"
"IPv4","12","Local Area Connection* 1","1500","25","Enabled","Disabled","Enabled","Disconnected","ActiveStore"
"IPv4","17","Local Area Connection* 2","1500","25","Enabled","Disabled","Disabled","Disconnected","ActiveStore"
"IPv4","19","VMware Network Adapter VMnet1","1500","35","Enabled","Disabled","Enabled","Connected","ActiveStore"
"IPv4","20","Bluetooth Network Connection","1500","65","Enabled","Disabled","Enabled","Disconnected","ActiveStore"
"IPv4","21","VMware Network Adapter VMnet8","1500","35","Enabled","Disabled","Enabled","Connected","ActiveStore"
"IPv6","1","Loopback Pseudo-Interface 1","4294967295","75","Enabled","Disabled","Disabled","Connected","ActiveStore"
"IPv6","7","Ethernet","1500","25","Enabled","Disabled","Enabled","Connected","ActiveStore"
"IPv6","19","VMware Network Adapter VMnet1","1500","35","Enabled","Disabled","Enabled","Connected","ActiveStore"
"IPv6","21","VMware Network Adapter VMnet8","1500","35","Enabled","Disabled","Enabled","Connected","ActiveStore"
